DATA,GRUPO,TIPO,ETAPA,TOTAL_IMPRESSOES,TOTAL_CLIQUES,TOTAL_CUSTO,TOTAL_SESSAO,TOTAL_INSCRICOES,TOTAL_MATRICULADOS,LEADS,CTR,CR,CPS,TX_LEADS,TX_INSCRITOS,CPI,TX_MATRICULADOS,CPMAT,CPA
2025-01-31,TIKTOK,TIKTOK,MEIO,432364,3624,1540.81,842,0,0,0,0.008381826424031603,0.23233995584988962,1.829940617577197,0.0,0.0,,,,0.4251683222958057
2025-01-31,TIKTOK,TIKTOK,PRESENCIAL,0,0,0.0,1,0,0,0,,,0.0,0.0,0.0,,,,
2025-01-31,SEARCH,SEARCH,MEIO,53062,3507,5988.536665,2127,4,1,54,0.06609249557121857,0.6065012831479898,2.815485032910202,0.02538787023977433,0.0018805829807240243,1497.13416625,0.25,5988.536665,1.7075952851439977
2025-01-31,SEARCH,DV360,TOPO,7490286,8840,37899.268033,411,0,0,1,0.0011801952555616701,0.04649321266968326,92.21233098053528,0.0024330900243309003,0.0,,,,5.059789176674962e-06
2025-01-31,SEARCH,GENERICA,FUNDO,137477,8269,29261.025013000002,7628,131,16,779,0.060148242978825546,0.922481557624864,3.836002230335606,0.10212375458835868,0.017173571054011537,223.3666031526718,0.12213740458015267,1828.8140633125001,32.15497254175824
2025-01-31,PMAX,PMAX,FUNDO,2747777,69008,138842.221463,32024,405,5,1829,0.025114119522799704,0.4640621377231625,4.335567744910067,0.0571134149387959,0.012646764926305272,342.82029990864197,0.012345679012345678,27768.444292599997,62.14960674261414
2025-01-31,TIKTOK,TIKTOK,FUNDO,1143093,5059,7795.440000000004,3719,3,0,23,0.004425711643759519,0.7351255188772484,2.0961118580263522,0.006184458187684862,0.0008066684592632429,2598.4800000000014,0.0,,299.8246153846155
2025-01-31,SEARCH,MICROSOFT,FUNDO,144455,5601,24485.53,4683,95,5,651,0.03877332041120072,0.8361006963042313,5.2285991885543455,0.13901345291479822,0.020286141362374548,257.7424210526316,0.05263157894736842,4897.106,32.82242627345844
2025-01-31,DEMAND GEN,DEMAND GEN,FUNDO,812536,15306,12222.445898,1438,8,1,43,0.018837319208010475,0.0939500849340128,8.499614671766341,0.029902642559109873,0.005563282336578581,1527.80573725,0.125,12222.445898,239.65580192156864
2025-01-31,SEARCH,MARCAS,FUNDO,80924,29786,60294.11735799999,27456,771,8,3807,0.36807374820819533,0.9217753306922716,2.1960270016754073,0.13865821678321677,0.028081293706293708,78.20248684565497,0.010376134889753566,7536.764669749999,13.17040571384884
2025-01-31,META,META,FUNDO,19399469,84111,229909.87000799997,34994,410,8,2077,0.004335737230745852,0.4160454637324488,6.569979711036177,0.059353031948334,0.011716294221866605,560.755780507317,0.01951219512195122,28738.733750999996,92.44466023642941
2025-01-31,META,META,MEIO,6306619,131821,61377.51,75235,3,0,11,0.02090200787458383,0.5707360739184196,0.8158105934737822,0.0001462085465541304,3.987505815112647e-05,20459.170000000002,0.0,,0.4656125351802824
2025-01-31,SEARCH,CURSOS,FUNDO,407425,24970,132510.764246,20062,405,38,2028,0.06128735350064429,0.8034441329595514,6.605062518492673,0.10108663144252816,0.0201874190010966,327.1870722123457,0.09382716049382717,3487.125374894737,54.46393927085902
