,DATA,GRUPO,TIPO,ETAPA,TOTAL_IMPRESSOES,TOTAL_CLIQUES,TOTAL_CUSTO,TOTAL_SESSAO,TOTAL_INSCRICOES,TOTAL_MATRICULADOS,LEADS,CTR,CR,CPS,TX_LEADS,TX_INSCRITOS,CPI,TX_MATRICULADOS,CPMAT,CPA
408,2025-01-13,SEARCH,OPORTUNIDADES,FUNDO,1052348,56562,281290.512748,39024,1146,6,9758,0.05374837981352176,0.6899331706799618,7.208141470582206,0.25005125051250515,0.029366543665436656,245.45419960558462,0.005235602094240838,46881.752124666666,25.797002269625825
409,2025-01-13,META,META,FUNDO,38387934,187333,622636.5099980001,75457,1643,7,7354,0.00487999692820145,0.4027960903845025,8.251540745033596,0.09745948023377553,0.021773990484646885,378.9631832002435,0.00426049908703591,88948.07285685716,69.20490274513728
412,2025-01-13,SEARCH,MICROSOFT,MEIO,9969749,62173,32630.119999999995,22117,7,3,58,0.0062361650228105045,0.3557331960819005,1.475341140299317,0.0026224171451824387,0.00031649862097029435,4661.445714285714,0.42857142857142855,10876.706666666665,0.5248278191497916
414,2025-01-13,SEARCH,MICROSOFT,FUNDO,101630,4521,23997.599999999995,5178,188,8,763,0.04448489619206927,1.1453218314532183,4.634530706836616,0.1473541908072615,0.03630745461568173,127.64680851063827,0.0425531914893617,2999.6999999999994,25.234069400630908
416,2025-01-13,SEARCH,MARCAS,FUNDO,138048,56328,88071.68733700001,48432,2511,12,11112,0.40803198887343534,0.8598210481465701,1.8184606734596962,0.2294350842418236,0.05184588701684836,35.07434780446038,0.0047789725209080045,7339.3072780833345,6.4649260322249145
418,2025-01-13,SEARCH,CURSOS,FUNDO,760547,43457,258434.370104,32407,999,73,4254,0.057139138015139104,0.7457256598476655,7.974646530194094,0.1312679359397661,0.030826673249606567,258.69306316716717,0.07307307307307308,3540.196850739726,49.19748145897582
420,2025-01-13,SEARCH,GENERICA,FUNDO,318290,16550,69764.52294100002,17426,487,29,2379,0.05199660686795061,1.052930513595166,4.003473140192816,0.13652014231607942,0.02794674624124871,143.25364053593432,0.059548254620123205,2405.6732048620697,24.342122449755763
421,2025-01-12,SEARCH,OPORTUNIDADES,FUNDO,38893,1265,7590.065948999999,1545,24,3,160,0.03252513305736251,1.2213438735177866,4.912664044660193,0.10355987055016182,0.015533980582524271,316.25274787499995,0.125,2530.0219829999996,41.25035841847826
422,2025-01-12,SEARCH,MICROSOFT,FUNDO,1272590,11213,13525.220000000001,7284,42,6,192,0.008811164632756819,0.649603139213413,1.8568396485447558,0.026359143327841845,0.005766062602965404,322.0290476190477,0.14285714285714285,2254.2033333333334,57.80008547008548
424,2025-01-12,SEARCH,GENERICA,FUNDO,117700,6212,23595.544675999998,6757,112,17,516,0.052778249787595585,1.0877334191886672,3.4920148995116174,0.07636525085096936,0.016575403285481724,210.67450603571427,0.15178571428571427,1387.9732162352939,37.57252336942675
